FILENAME.WTH      LAT     LONG
161_0304.WTH   49.875 -103.125
162_0304.WTH   49.625 -103.125
163_0304.WTH   49.375 -103.125
164_0304.WTH   49.125 -103.125
165_0304.WTH   48.875 -103.125
166_0304.WTH   48.625 -103.125
167_0304.WTH   48.375 -103.125
168_0304.WTH   48.125 -103.125
169_0304.WTH   47.875 -103.125
170_0304.WTH   47.625 -103.125
171_0304.WTH   47.375 -103.125
172_0304.WTH   47.125 -103.125
173_0304.WTH   46.875 -103.125
174_0304.WTH   46.625 -103.125
175_0304.WTH   46.375 -103.125
176_0304.WTH   46.125 -103.125
177_0304.WTH   45.875 -103.125
178_0304.WTH   45.625 -103.125
179_0304.WTH   45.375 -103.125
180_0304.WTH   45.125 -103.125
161_0305.WTH   49.875 -102.875
162_0305.WTH   49.625 -102.875
163_0305.WTH   49.375 -102.875
164_0305.WTH   49.125 -102.875
165_0305.WTH   48.875 -102.875
166_0305.WTH   48.625 -102.875
167_0305.WTH   48.375 -102.875
168_0305.WTH   48.125 -102.875
169_0305.WTH   47.875 -102.875
170_0305.WTH   47.625 -102.875
171_0305.WTH   47.375 -102.875
172_0305.WTH   47.125 -102.875
173_0305.WTH   46.875 -102.875
174_0305.WTH   46.625 -102.875
175_0305.WTH   46.375 -102.875
176_0305.WTH   46.125 -102.875
177_0305.WTH   45.875 -102.875
178_0305.WTH   45.625 -102.875
179_0305.WTH   45.375 -102.875
180_0305.WTH   45.125 -102.875
161_0306.WTH   49.875 -102.625
162_0306.WTH   49.625 -102.625
163_0306.WTH   49.375 -102.625
164_0306.WTH   49.125 -102.625
165_0306.WTH   48.875 -102.625
166_0306.WTH   48.625 -102.625
167_0306.WTH   48.375 -102.625
168_0306.WTH   48.125 -102.625
169_0306.WTH   47.875 -102.625
170_0306.WTH   47.625 -102.625
171_0306.WTH   47.375 -102.625
172_0306.WTH   47.125 -102.625
173_0306.WTH   46.875 -102.625
174_0306.WTH   46.625 -102.625
175_0306.WTH   46.375 -102.625
176_0306.WTH   46.125 -102.625
177_0306.WTH   45.875 -102.625
178_0306.WTH   45.625 -102.625
179_0306.WTH   45.375 -102.625
180_0306.WTH   45.125 -102.625
161_0307.WTH   49.875 -102.375
162_0307.WTH   49.625 -102.375
163_0307.WTH   49.375 -102.375
164_0307.WTH   49.125 -102.375
165_0307.WTH   48.875 -102.375
166_0307.WTH   48.625 -102.375
167_0307.WTH   48.375 -102.375
168_0307.WTH   48.125 -102.375
169_0307.WTH   47.875 -102.375
170_0307.WTH   47.625 -102.375
171_0307.WTH   47.375 -102.375
172_0307.WTH   47.125 -102.375
173_0307.WTH   46.875 -102.375
174_0307.WTH   46.625 -102.375
175_0307.WTH   46.375 -102.375
176_0307.WTH   46.125 -102.375
177_0307.WTH   45.875 -102.375
178_0307.WTH   45.625 -102.375
179_0307.WTH   45.375 -102.375
180_0307.WTH   45.125 -102.375
161_0308.WTH   49.875 -102.125
162_0308.WTH   49.625 -102.125
163_0308.WTH   49.375 -102.125
164_0308.WTH   49.125 -102.125
165_0308.WTH   48.875 -102.125
166_0308.WTH   48.625 -102.125
167_0308.WTH   48.375 -102.125
168_0308.WTH   48.125 -102.125
169_0308.WTH   47.875 -102.125
170_0308.WTH   47.625 -102.125
171_0308.WTH   47.375 -102.125
172_0308.WTH   47.125 -102.125
173_0308.WTH   46.875 -102.125
174_0308.WTH   46.625 -102.125
175_0308.WTH   46.375 -102.125
176_0308.WTH   46.125 -102.125
177_0308.WTH   45.875 -102.125
178_0308.WTH   45.625 -102.125
179_0308.WTH   45.375 -102.125
180_0308.WTH   45.125 -102.125
161_0309.WTH   49.875 -101.875
162_0309.WTH   49.625 -101.875
163_0309.WTH   49.375 -101.875
164_0309.WTH   49.125 -101.875
165_0309.WTH   48.875 -101.875
166_0309.WTH   48.625 -101.875
